원환 1,,,황2,,,환3,,,사각1,,,사각2,,,사각3,,,원판1,,,원판2,,,원판3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,회전축 지름 ,4.1cm
,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,질점_A,,,,,원판지름 ,18cm
t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,t,x,y,,,,직사각형 판 넓이,8.2*18
0.0000,0.0744,0.1337,0.0000,0.1308,-0.0855,1.5329,0.0524,0.1390,1.1996,0.1489,0.0039,0.0000,-0.0082,0.1462,1.3663,0.0887,0.1239,0.0000,0.1690,-0.0060,0.0000,-0.0712,0.1244,2.0327,0.0889,0.1216,,,,,
0.0333,0.0749,0.1335,0.0333,0.1310,-0.0857,1.5662,0.0598,0.1379,1.2330,0.1500,-0.0065,0.0333,-0.0071,0.1463,1.3996,0.0990,0.1196,0.0333,0.1687,-0.0079,0.0333,-0.0702,0.1260,2.0661,0.0975,0.1160,,,,직사각형 판 질량 ,579(g)
0.0666,0.0754,0.1335,0.0666,0.1308,-0.0866,1.5995,0.0661,0.1353,1.2663,0.1482,-0.0173,0.0666,-0.0055,0.1470,1.4329,0.1092,0.1134,0.0666,0.1710,-0.0065,0.0666,-0.0631,0.1282,2.0994,0.1029,0.1090,,,,원판 ,609.6
0.1000,0.0765,0.1332,0.1000,0.1303,-0.0869,1.6329,0.0643,0.1331,1.2996,0.1393,-0.0267,0.1000,-0.0039,0.1475,1.4662,0.1166,0.1062,0.1000,0.1674,-0.0094,0.1000,-0.0581,0.1288,2.1327,0.1090,0.1029,,,,원환 ,609
0.1333,0.0776,0.1323,0.1333,0.1296,-0.0875,1.6662,0.0711,0.1293,1.3329,0.1349,-0.0374,0.1333,-0.0022,0.1475,1.4996,0.1194,0.1040,0.1333,0.1656,-0.0100,0.1333,-0.0631,0.1299,2.1660,0.1165,0.1006,,,,추 무게,51.3
0.1666,0.0788,0.1320,0.1666,0.1290,-0.0883,1.6995,0.0778,0.1254,1.3663,0.1337,-0.0460,0.1666,-0.0001,0.1482,1.5329,0.1254,0.0954,0.1666,0.1663,-0.0148,0.1666,-0.0610,0.1305,2.1994,0.1157,0.0868,,,,,
0.1999,0.0799,0.1314,0.1999,0.1284,-0.0894,1.7328,0.0850,0.1216,1.3996,0.1281,-0.0568,0.1999,0.0016,0.1485,1.5662,0.1316,0.0863,0.1999,0.1657,-0.0164,0.1999,-0.0587,0.1315,2.2327,0.1283,0.0731,,,,,
0.2333,0.0814,0.1305,0.2333,0.1273,-0.0902,1.7662,0.0937,0.1182,1.4329,0.1248,-0.0661,0.2333,0.0042,0.1485,1.5995,0.1412,0.0705,0.2333,0.1596,-0.0270,0.2333,-0.0558,0.1327,2.2660,0.1281,0.0644,,,,,
0.2666,0.0840,0.1300,0.2666,0.1260,-0.0911,1.7995,0.0998,0.1130,1.4662,0.1155,-0.0769,0.2666,0.0067,0.1485,1.6329,0.1465,0.0601,0.2666,0.1649,-0.0284,0.2666,-0.0527,0.1358,2.2993,0.1328,0.0547,,,,,
0.2999,0.0858,0.1293,0.2999,0.1258,-0.0929,1.8328,0.1030,0.1037,1.4996,0.1111,-0.0849,0.2999,0.0060,0.1474,1.6662,0.1436,0.0552,0.2999,0.1658,-0.0270,0.2999,-0.0513,0.1366,2.3327,0.1341,0.0440,,,,,
0.3332,0.0875,0.1266,0.3332,0.1219,-0.0942,1.8661,0.1087,0.0974,1.5329,0.1029,-0.0933,0.3332,0.0091,0.1474,1.6995,0.1424,0.0371,0.3332,0.1563,-0.0367,0.3332,-0.0424,0.1361,2.3660,0.1369,0.0340,,,,,
0.3666,0.0895,0.1261,0.3666,0.1185,-0.0959,1.8994,0.1146,0.0912,1.5662,0.0938,-0.1013,0.3666,0.0142,0.1433,1.7328,0.1480,0.0260,0.3666,0.1603,-0.0397,0.3666,-0.0397,0.1420,2.3993,0.1467,0.0253,,,,,
0.3999,0.0917,0.1244,0.3999,0.1172,-0.0967,1.9328,0.1222,0.0854,1.5995,0.0832,-0.1082,0.3999,0.0190,0.1450,1.7662,0.1506,0.0141,0.3999,0.1588,-0.0440,0.3999,-0.0350,0.1400,2.4326,0.1398,0.0115,,,,,
0.4332,0.0924,0.1226,0.4332,0.1165,-0.0980,1.9661,0.1225,0.0736,1.6329,0.0725,-0.1146,0.4332,0.0234,0.1437,1.7995,0.1511,0.0027,0.4332,0.1610,-0.0457,0.4332,-0.0310,0.1413,2.4659,0.1450,0.0020,,,,,
0.4665,0.0950,0.1215,0.4665,0.1149,-0.0998,1.9994,0.1303,0.0685,1.6662,0.0629,-0.1196,0.4665,0.0270,0.1425,1.8328,0.1506,-0.0086,0.4665,0.1592,-0.0501,0.4665,-0.0266,0.1422,2.4993,0.1407,-0.0133,,,,,
0.4999,0.0970,0.1199,0.4999,0.1132,-0.1021,2.0327,0.1339,0.0601,1.6995,0.0510,-0.1245,0.4999,0.0308,0.1411,1.8661,0.1438,-0.0210,0.4999,0.1505,-0.0554,0.4999,-0.0223,0.1439,2.5326,0.1383,-0.0235,,,,,
0.5332,0.0928,0.1140,0.5332,0.1107,-0.1044,2.0661,0.1372,0.0509,1.7328,0.0403,-0.1285,0.5332,0.0340,0.1397,1.8994,0.1410,-0.0318,0.5332,0.1478,-0.0595,0.5332,-0.0178,0.1456,2.5659,0.1358,-0.0353,,,,,
0.5665,0.0988,0.1191,0.5665,0.1083,-0.1062,2.0994,0.1413,0.0418,1.7662,0.0281,-0.1307,0.5665,0.0378,0.1389,1.9328,0.1382,-0.0432,0.5665,0.1449,-0.0649,0.5665,-0.0133,0.1464,2.5992,0.1320,-0.0464,,,,,
0.5998,0.1018,0.1172,0.5998,0.1062,-0.1084,2.1327,0.1430,0.0318,1.7995,0.0165,-0.1327,0.5998,0.0421,0.1384,1.9661,0.1325,-0.0528,0.5998,0.1420,-0.0693,0.5998,-0.0086,0.1470,2.6326,0.1280,-0.0578,,,,,
0.6332,0.1050,0.1150,0.6331,0.1038,-0.1103,2.1660,0.1442,0.0222,1.8328,0.0032,-0.1336,0.6331,0.0446,0.1388,1.9994,0.1271,-0.0630,0.6331,0.1390,-0.0743,0.6331,-0.0037,0.1476,2.6659,0.1240,-0.0665,,,,,
0.6665,0.1078,0.1125,0.6665,0.0998,-0.1138,2.1994,0.1450,0.0126,1.8661,-0.0092,-0.1338,0.6665,0.0496,0.1379,2.0327,0.1220,-0.0723,0.6665,0.1353,-0.0791,0.6665,0.0021,0.1494,2.6992,0.1195,-0.0717,,,,,
0.6998,0.1078,0.1090,0.6998,0.0977,-0.1158,2.2327,0.1451,0.0023,1.8994,-0.0207,-0.1313,0.6998,0.0551,0.1375,2.0661,0.1152,-0.0816,0.6998,0.1315,-0.0840,0.6998,0.0084,0.1493,2.7325,0.1122,-0.0810,,,,,
0.7331,0.1105,0.1062,0.7331,0.0941,-0.1187,2.2660,0.1443,-0.0078,1.9328,-0.0361,-0.1310,0.7331,0.0616,0.1373,2.0994,0.1070,-0.0897,0.7331,0.1283,-0.0887,0.7331,0.0151,0.1493,2.7659,0.1029,-0.0893,,,,,
0.7664,0.1135,0.1033,0.7664,0.0906,-0.1210,2.2993,0.1431,-0.0178,1.9661,-0.0482,-0.1272,0.7664,0.0671,0.1351,2.1327,0.0977,-0.0981,0.7664,0.1246,-0.0936,0.7664,0.0210,0.1486,2.7992,0.0934,-0.1041,,,,,
0.7998,0.1167,0.1000,0.7998,0.0870,-0.1229,2.3327,0.1410,-0.0279,1.9994,-0.0596,-0.1218,0.7998,0.0743,0.1343,2.1660,0.0884,-0.1055,0.7998,0.1216,-0.0985,0.7998,0.0266,0.1463,2.8325,0.0895,-0.1099,,,,,
0.8331,0.1197,0.0964,0.8331,0.0831,-0.1251,2.3660,0.1373,-0.0378,2.0327,-0.0702,-0.1153,0.8331,0.0791,0.1311,2.1994,0.0780,-0.1124,0.8331,0.1172,-0.1034,0.8331,0.0322,0.1444,2.8658,0.0780,-0.1177,,,,,
0.8664,0.1208,0.0913,0.8664,0.0789,-0.1272,2.3993,0.1269,-0.0478,2.0661,-0.0776,-0.1090,0.8664,0.0858,0.1284,2.2327,0.0670,-0.1184,0.8664,0.1088,-0.1075,0.8664,0.0411,0.1479,2.8992,0.0687,-0.1222,,,,,
0.8997,0.1236,0.0875,0.8997,0.0749,-0.1296,2.4326,0.1240,-0.0570,2.0994,-0.0903,-0.0974,0.8997,0.0913,0.1246,2.2660,0.0556,-0.1240,0.8997,0.1068,-0.1116,0.8997,0.0467,0.1463,2.9325,0.0559,-0.1266,,,,,
0.9331,0.1278,0.0840,0.9331,0.0704,-0.1319,2.4659,0.1184,-0.0666,2.1327,-0.1055,-0.0872,0.9331,0.0947,0.1192,2.2993,0.0443,-0.1276,0.9331,0.1008,-0.1158,0.9331,0.0434,0.1488,2.9658,0.0444,-0.1306,,,,,
0.9664,0.1295,0.0784,0.9664,0.0662,-0.1339,2.4993,0.1120,-0.0755,2.1660,-0.1136,-0.0762,0.9664,0.1004,0.1149,2.3327,0.0313,-0.1301,0.9664,0.0957,-0.1196,0.9664,0.0542,0.1419,2.9991,0.0319,-0.1323,,,,,
0.9997,0.1320,0.0741,0.9997,0.0599,-0.1371,2.5326,0.1052,-0.0828,2.1994,-0.1216,-0.0660,0.9997,0.1054,0.1095,2.3660,0.0188,-0.1319,0.9997,0.0878,-0.1234,0.9997,0.0599,0.1379,3.0324,0.0173,-0.1330,,,,,
1.0330,0.1348,0.0691,1.0330,0.0551,-0.1388,2.5659,0.0977,-0.0901,2.2327,-0.1269,-0.0529,1.0330,0.1107,0.1041,2.3993,0.0054,-0.1328,1.0330,0.0813,-0.1271,1.0330,0.0660,0.1322,3.0658,0.0066,-0.1347,,,,,
1.0664,0.1371,0.0637,1.0664,0.0489,-0.1401,2.5992,0.0894,-0.0972,2.2660,-0.1312,-0.0402,1.0664,0.1124,0.0954,2.4326,-0.0068,-0.1325,1.0664,0.0735,-0.1310,1.0664,0.0716,0.1310,3.0991,-0.0053,-0.1346,,,,,
1.0997,0.1391,0.0583,1.0997,0.0438,-0.1415,2.6326,0.0792,-0.1032,2.2993,-0.1357,-0.0286,1.0997,0.1167,0.0884,2.4659,-0.0191,-0.1299,1.0997,0.0658,-0.1342,1.0997,0.0785,0.1290,3.1324,-0.0159,-0.1337,,,,,
1.1330,0.1414,0.0525,1.1330,0.0384,-0.1428,2.6659,0.0691,-0.1083,2.3327,-0.1332,-0.0115,1.1330,0.1206,0.0807,2.4993,-0.0308,-0.1280,1.1330,0.0582,-0.1371,1.1330,0.0825,0.1274,3.1657,-0.0295,-0.1311,,,,,
1.1663,0.1431,0.0465,1.1663,0.0328,-0.1436,2.6992,0.0597,-0.1132,2.3660,-0.1343,0.0035,1.1663,0.1248,0.0739,2.5326,-0.0444,-0.1245,1.1663,0.0496,-0.1416,1.1663,0.0971,0.1259,3.1991,-0.0414,-0.1277,,,,,
1.1997,0.1441,0.0404,1.1996,0.0269,-0.1442,2.7325,0.0528,-0.1162,2.3993,-0.1383,0.0183,1.1996,0.1286,0.0662,2.5659,-0.0571,-0.1195,1.1997,0.0385,-0.1431,1.1996,0.0993,0.1219,3.2324,-0.0531,-0.1214,,,,,
1.2330,0.1459,0.0345,1.2330,0.0209,-0.1447,2.7659,0.0414,-0.1198,2.4326,-0.1343,0.0325,1.2330,0.1325,0.0585,2.5992,-0.0687,-0.1158,1.2330,0.0326,-0.1457,1.2330,0.1063,0.1160,3.2657,-0.0637,-0.1148,,,,,
1.2663,0.1474,0.0281,1.2663,0.0137,-0.1462,2.7992,0.0318,-0.1222,2.4659,-0.1285,0.0480,1.2663,0.1354,0.0500,2.6326,-0.0796,-0.1076,1.2663,0.0234,-0.1464,1.2663,0.1123,0.1094,3.2990,-0.0746,-0.1080,,,,,
1.2996,0.1482,0.0214,1.2996,0.0068,-0.1475,2.8325,0.0212,-0.1237,2.4993,-0.1229,0.0628,1.2996,0.1364,0.0397,,,,1.2996,0.0138,-0.1468,1.2996,0.1129,0.0967,3.3324,-0.0839,-0.1035,,,,,
1.3329,0.1497,0.0137,1.3329,0.0007,-0.1467,2.8658,0.0105,-0.1248,2.5326,-0.1159,0.0774,1.3329,0.1434,0.0337,,,,1.3329,0.0040,-0.1465,1.3329,0.1185,0.0902,3.3657,-0.0950,-0.0952,,,,,
1.3663,0.1504,0.0065,1.3663,-0.0064,-0.1450,2.8992,-0.0104,-0.1286,2.5659,-0.1074,0.0909,1.3663,0.1451,0.0242,,,,1.3663,-0.0057,-0.1460,1.3663,0.1227,0.0815,3.3990,-0.1039,-0.0858,,,,,
1.3996,0.1503,-0.0006,1.3996,-0.0133,-0.1444,2.9325,-0.0228,-0.1301,2.5992,-0.0976,0.1011,1.3996,0.1465,0.0144,,,,1.3996,-0.0155,-0.1453,1.3996,0.1277,0.0744,3.4323,-0.1121,-0.0754,,,,,
1.4329,0.1480,-0.0086,1.4329,-0.0199,-0.1433,2.9658,-0.0339,-0.1269,2.6326,-0.0939,,1.4329,0.1467,0.0042,,,,1.4329,-0.0253,-0.1435,1.4329,0.1316,0.0656,3.4657,-0.1199,-0.0641,,,,,
1.4662,0.1482,-0.0149,1.4662,-0.0253,-0.1423,2.9991,-0.0452,-0.1233,,,,1.4662,0.1386,-0.0084,,,,1.4662,-0.0345,-0.1410,1.4662,0.1353,0.0572,3.4990,-0.1271,-0.0513,,,,,
1.4996,0.1470,-0.0224,1.4996,-0.0305,-0.1416,3.0324,-0.0557,-0.1183,,,,1.4996,0.1370,-0.0184,,,,1.4996,-0.0444,-0.1377,1.4996,0.1485,0.0389,3.5323,-0.1321,-0.0386,,,,,
1.5329,0.1459,-0.0301,1.5329,-0.0379,-0.1391,3.0658,-0.0657,-0.1126,,,,1.5329,0.1347,-0.0281,,,,1.5329,-0.0542,-0.1335,1.5329,0.1502,0.0311,3.5656,-0.1349,-0.0249,,,,,
1.5662,0.1384,-0.0379,1.5662,-0.0451,-0.1368,3.0991,-0.0731,-0.1055,,,,1.5662,0.1315,-0.0376,,,,1.5662,-0.0640,-0.1291,1.5662,0.1509,0.0203,,,,,,,,
1.5995,0.1369,-0.0453,1.5995,-0.0526,-0.1344,3.1324,-0.0816,-0.0979,,,,1.5995,0.1278,-0.0475,,,,1.5995,-0.0736,-0.1237,1.5995,0.1516,0.0102,,,,,,,,
1.6329,0.1336,-0.0524,1.6329,-0.0636,-0.1361,3.1657,-0.0897,-0.0901,,,,1.6329,0.1247,-0.0564,,,,1.6329,-0.0828,-0.1175,1.6329,0.1454,-0.0015,,,,,,,,
1.6662,0.1265,-0.0637,1.6662,-0.0693,-0.1328,3.1991,-0.0981,-0.0816,,,,1.6662,0.1172,-0.0665,,,,1.6662,-0.0919,-0.1164,1.6662,0.1447,-0.0117,,,,,,,,
1.6995,0.1252,-0.0677,1.6995,-0.0797,-0.1233,3.2324,-0.1059,-0.0720,,,,1.6995,0.1162,-0.0750,,,,1.6995,-0.1017,-0.1089,1.6995,0.1431,-0.0220,,,,,,,,
1.7328,0.1181,-0.0771,1.7328,-0.0861,-0.1188,3.2657,-0.1116,-0.0620,,,,1.7328,0.1096,-0.0838,,,,1.7328,-0.1103,-0.1000,1.7328,0.1409,-0.0323,,,,,,,,
1.7662,0.1131,-0.0836,1.7662,-0.0928,-0.1136,3.2990,-0.1186,-0.0521,,,,1.7662,0.1016,-0.0920,,,,1.7662,-0.1183,-0.0910,1.7662,0.1374,-0.0422,,,,,,,,
1.7995,0.1085,-0.0900,1.7995,-0.0986,-0.1095,3.3324,-0.1236,-0.0406,,,,1.7995,0.0924,-0.0990,,,,1.7995,-0.1255,-0.0828,1.7995,0.1321,-0.0518,,,,,,,,
1.8328,0.1028,-0.0959,1.8328,-0.1022,-0.1067,3.3657,-0.1265,-0.0288,,,,1.8328,0.0793,-0.1055,,,,1.8328,-0.1308,-0.0693,1.8328,0.1259,-0.0585,,,,,,,,
1.8661,0.0962,-0.1011,1.8661,-0.1114,-0.0971,3.3990,-0.1301,-0.0185,,,,1.8661,0.0698,-0.1117,,,,1.8661,-0.1358,-0.0589,1.8661,0.1206,-0.0683,,,,,,,,
1.8994,0.0892,-0.1067,1.8994,-0.1167,-0.0903,3.4323,-0.1316,-0.0075,,,,1.8994,0.0639,-0.1282,,,,1.8994,-0.1430,-0.0475,1.8994,0.1142,-0.0770,,,,,,,,
1.9328,0.0823,-0.1121,1.9328,-0.1219,-0.0870,3.4657,-0.1298,0.0048,,,,1.9328,0.0513,-0.1341,,,,,,,1.9328,0.1069,-0.0852,,,,,,,,
1.9661,0.0741,-0.1164,1.9661,-0.1259,-0.0783,3.4990,-0.1272,0.0189,,,,1.9661,0.0420,-0.1358,,,,,,,1.9661,0.0980,-0.0924,,,,,,,,
1.9994,0.0670,-0.1200,1.9994,-0.1307,-0.0702,,,,,,,1.9994,0.0314,-0.1284,,,,,,,1.9994,0.0922,-0.0998,,,,,,,,
2.0327,0.0583,-0.1235,2.0327,-0.1352,-0.0614,,,,,,,,,,,,,,,,2.0327,0.0817,-0.1065,,,,,,,,
2.0661,0.0488,-0.1282,2.0661,-0.1400,-0.0527,,,,,,,,,,,,,,,,2.0661,0.0717,-0.1126,,,,,,,,
2.0994,0.0392,-0.1302,2.0994,-0.1439,-0.0438,,,,,,,,,,,,,,,,2.0994,0.0611,-0.1193,,,,,,,,
2.1327,0.0293,-0.1325,2.1327,-0.1461,-0.0336,,,,,,,,,,,,,,,,2.1327,0.0494,-0.1226,,,,,,,,
2.1660,0.0201,-0.1335,2.1660,-0.1499,-0.0240,,,,,,,,,,,,,,,,2.1660,0.0384,-0.1258,,,,,,,,
2.1994,0.0122,-0.1344,,,,,,,,,,,,,,,,,,,2.1994,0.0254,-0.1285,,,,,,,,
2.2327,0.0019,-0.1351,,,,,,,,,,,,,,,,,,,2.2327,0.0132,-0.1292,,,,,,,,
2.2660,-0.0085,-0.1340,,,,,,,,,,,,,,,,,,,2.2660,0.0015,-0.1298,,,,,,,,
2.2993,-0.0190,-0.1311,,,,,,,,,,,,,,,,,,,2.2993,-0.0133,-0.1293,,,,,,,,
2.3327,-0.0299,-0.1290,,,,,,,,,,,,,,,,,,,2.3327,-0.0257,-0.1270,,,,,,,,
2.3660,-0.0410,-0.1262,,,,,,,,,,,,,,,,,,,2.3660,-0.0382,-0.1237,,,,,,,,
2.3993,-0.0504,-0.1223,,,,,,,,,,,,,,,,,,,2.3993,-0.0499,-0.1198,,,,,,,,
2.4326,-0.0602,-0.1188,,,,,,,,,,,,,,,,,,,2.4326,-0.0599,-0.1158,,,,,,,,
2.4659,-0.0695,-0.1145,,,,,,,,,,,,,,,,,,,2.4659,-0.0713,-0.1097,,,,,,,,
2.4993,-0.0768,-0.1084,,,,,,,,,,,,,,,,,,,2.4993,-0.0847,-0.1019,,,,,,,,
2.5326,-0.0871,-0.1024,,,,,,,,,,,,,,,,,,,2.5326,-0.0935,-0.0929,,,,,,,,
2.5659,-0.0976,-0.0915,,,,,,,,,,,,,,,,,,,2.5659,-0.1030,-0.0823,,,,,,,,
2.5992,-0.1063,-0.0848,,,,,,,,,,,,,,,,,,,2.5992,-0.1127,-0.0737,,,,,,,,
2.6326,-0.1110,-0.0753,,,,,,,,,,,,,,,,,,,2.6326,-0.1198,-0.0616,,,,,,,,
2.6659,-0.1151,-0.0651,,,,,,,,,,,,,,,,,,,2.6659,-0.1278,-0.0488,,,,,,,,
2.6992,-0.1230,-0.0540,,,,,,,,,,,,,,,,,,,2.6992,-0.1325,-0.0359,,,,,,,,
2.7325,-0.1274,-0.0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7659,-0.1319,-0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8658,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8992,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9325,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9658,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9991,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0658,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0991,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1991,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3324,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4323,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4657,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5323,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5656,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5990,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6323,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6656,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6989,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7656,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7989,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8989,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9988,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0322,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0988,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1321,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1655,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1988,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2321,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2654,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2987,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3321,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3654,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3987,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4320,0.3618,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
